Dis No,Year,Seq,Disaster Subgroup,Disaster Type,Disaster Subtype,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,Total Affected,Total Damages Adj
1902-0012-GTM,1902,12,Geophysical,Earthquake,Ground movement,Guatemala,GTM,Central America,Americas,"Quezaltenango, San Marcos",,Tsunami/Tidal wave,8,Richter,14.0,-91.0,1902,4,18,1902,4,18,2000,0,843726
1905-0003-IND,1905,3,Geophysical,Earthquake,Ground movement,India,IND,Southern Asia,Asia,Kangra,,,8,Richter,32.04,76.16,1905,4,4,1905,4,4,20000,0,812477
1906-0014-CHL,1906,14,Geophysical,Earthquake,Ground movement,Chile,CHL,South America,Americas,Valparaiso,,Tsunami/Tidal wave,8,Richter,33.05,71.4,1906,8,16,1906,8,16,20000,0,3249907
1906-0002-COL,1906,2,Geophysical,Earthquake,Ground movement,Colombia,COL,South America,Americas,Tumako,,Tsunami/Tidal wave,9,Richter,1.51,-78.46,1906,1,31,1906,1,31,400,0,0
1907-0006-CHN,1907,6,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,Tien Shan,,,7,Richter,38.5,69.9,1907,10,21,1907,10,21,12000,0,0
1909-0009-FRA,1909,9,Geophysical,Earthquake,Ground movement,France,FRA,Western Europe,Europe,"Lambesc, Saint-Cannat, Rognes, Vernegues, Charleval, La Roque d'Antheron (Haute-Provence)",,,6,Richter,44.05,6.14,1909,6,11,1909,6,11,46,0,0
1910-0004-CRI,1910,4,Geophysical,Earthquake,Ground movement,Costa Rica,CRI,Central America,Americas,Cartago,,,0,Richter,9.8,-84.0,1910,4,13,1910,4,13,1750,0,0
1910-0005-DZA,1910,5,Geophysical,Earthquake,Ground movement,Algeria,DZA,Northern Africa,Africa,"Kabylie, Masqueray",,,6,Richter,36.0,4.0,1910,6,24,1910,6,24,12,0,0
1914-0022-IDN,1914,22,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,"Kepahyang, Bengkulu (Sumatera)",,Tsunami/Tidal wave,8,Richter,-3.92,101.82,1914,6,26,1914,6,26,20,20,0
1917-0014-CHN,1917,14,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,Yunnan province,,,7,Richter,28.0,104.0,1917,7,31,1917,7,31,1800,0,0
1917-0009-GTM,1917,9,Geophysical,Earthquake,Ground movement,Guatemala,GTM,Central America,Americas,Guatemala city,,,6,Richter,14.38,-90.22,1917,12,25,1917,12,25,2650,0,0
1917-0003-IDN,1917,3,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,Bali,,,7,Richter,-7.0,116.0,1917,1,21,1917,1,21,15000,0,0
1918-0020-CHN,1918,20,Geophysical,Earthquake,Ground movement,China,CHN,Eastern Asia,Asia,Kwangtung (Guangdong),,Tsunami/Tidal wave,7,Richter,23.5,117.0,1918,2,13,1918,2,13,10000,0,0
